Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Saline and Alkaline Soil,11.42,435.1,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,7.2,75.5,Zaid,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Alluvial Soil,24.93,475.3,Rabi,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,10.94,1171.1,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,11.56,801.0,Zaid,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,4.51,554.7,Rabi,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Black Soil,19.97,589.0,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Low
Laterite Soil,17.5,52.0,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,5.91,484.7,Kharif,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,2.52,987.4,Kharif,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Laterite Soil,17.17,1462.6,Zaid,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Laterite Soil,16.54,1278.2,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,7.19,84.2,Zaid,Open-Pollinated Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,23.8,1352.9,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,4.2,1185.6,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,11.09,1181.5,Zaid,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,23.62,714.1,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Alluvial Soil,10.78,627.1,Zaid,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Black Soil,16.14,489.2,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,10.24,145.3,Rabi,Hybrid Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,7.22,380.9,Zaid,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Laterite Soil,24.61,407.6,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Black Soil,10.53,751.9,Rabi,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Black Soil,22.41,1133.8,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,6.13,737.0,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Black Soil,5.72,133.9,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,1.26,1438.8,Rabi,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,16.47,1417.0,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Laterite Soil,9.53,1188.5,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,21.68,1487.4,Kharif,Foundation Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Laterite Soil,12.09,839.5,Rabi,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Laterite Soil,24.22,1446.0,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,5.05,159.6,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,21.78,580.2,Zaid,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,19.53,376.8,Rabi,Breeder Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Laterite Soil,19.39,334.0,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Black Soil,21.2,254.2,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Laterite Soil,19.15,952.5,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Black Soil,15.84,1182.9,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,3.72,888.5,Kharif,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,1.3,263.1,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,23.06,1226.1,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Black Soil,15.61,972.1,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Black Soil,20.02,612.8,Rabi,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,12.3,1027.5,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,3.37,426.9,Zaid,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Black Soil,3.57,550.5,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Laterite Soil,17.3,1380.4,Kharif,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,11.04,471.2,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,5.41,731.5,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,12.54,1340.7,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,2.07,1076.2,Kharif,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Black Soil,14.76,140.2,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,7.09,263.6,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,20.04,61.4,Rabi,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,8.1,964.8,Rabi,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Laterite Soil,11.65,699.1,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Laterite Soil,0.78,244.7,Rabi,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,2.27,1439.0,Zaid,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,10.12,818.0,Kharif,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,12.26,400.7,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,15.2,775.9,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,7.65,1035.4,Rabi,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Alluvial Soil,17.53,160.5,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,21.57,448.3,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,19.61,1220.1,Kharif,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,1.47,716.5,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,12.27,842.5,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,3.07,677.6,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,6.43,113.7,Rabi,Breeder Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Alluvial Soil,24.67,290.3,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,3.99,696.0,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,12.72,353.3,Kharif,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,15.64,122.5,Rabi,Hybrid Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,17.71,1273.3,Kharif,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,14.21,1472.7,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,0.74,1200.1,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Black Soil,8.5,1288.0,Zaid,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,13.18,400.9,Kharif,Breeder Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Laterite Soil,2.65,1442.9,Rabi,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,9.09,335.5,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,1.31,1429.6,Zaid,Breeder Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Black Soil,2.43,1492.5,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,10.22,1082.0,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,3.75,1472.7,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,14.4,875.8,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,17.39,426.3,Rabi,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,20.11,683.6,Kharif,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,5.4,910.7,Kharif,Hybrid Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,4.6,156.0,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,3.06,952.4,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,16.09,1472.7,Kharif,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,17.81,325.7,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,1.27,1199.3,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,23.44,1366.5,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,1.77,1418.4,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,13.76,1442.2,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,17.87,806.1,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,21.84,1467.1,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Black Soil,18.0,1148.1,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,20.14,284.4,Rabi,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,8.82,741.5,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,20.46,1091.6,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,2.46,408.6,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,22.42,978.9,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,13.92,1016.6,Rabi,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Laterite Soil,20.52,285.9,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,11.58,869.4,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,16.27,1168.9,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,13.4,773.4,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,18.42,67.5,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,2.5,63.1,Rabi,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,1.98,567.7,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,6.55,1393.0,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,4.41,381.6,Kharif,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,21.86,969.8,Rabi,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Very High
Black Soil,5.87,372.0,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Black Soil,24.41,516.4,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,8.75,1279.7,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,4.96,1106.8,Kharif,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,19.85,188.3,Kharif,Foundation Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Laterite Soil,16.64,671.6,Rabi,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Laterite Soil,12.71,92.3,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Laterite Soil,14.11,747.3,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Laterite Soil,18.12,1010.5,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Laterite Soil,6.1,221.8,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,24.91,468.9,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Black Soil,24.38,626.9,Zaid,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Laterite Soil,16.43,1383.3,Rabi,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,5.39,1490.2,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,17.17,115.1,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,2.27,1153.5,Kharif,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,1.25,589.0,Zaid,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,6.81,619.1,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,11.83,1143.7,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Very High
Laterite Soil,21.77,1381.7,Rabi,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,18.32,1428.8,Zaid,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Alluvial Soil,18.7,886.8,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,10.92,567.8,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,8.98,1191.9,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,9.59,414.0,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,24.7,867.9,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,1.48,569.9,Kharif,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,21.74,1002.1,Zaid,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,14.68,398.6,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Laterite Soil,11.25,327.8,Zaid,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,18.27,1381.4,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,12.42,197.6,Zaid,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Laterite Soil,21.9,783.6,Kharif,Breeder Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,22.57,370.2,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,10.83,106.4,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Black Soil,7.28,102.2,Rabi,Hybrid Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Laterite Soil,15.01,304.1,Rabi,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,22.85,1306.8,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Black Soil,5.66,459.6,Kharif,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,15.76,1428.2,Rabi,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,15.97,893.4,Rabi,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,18.46,683.1,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,3.72,891.1,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Alluvial Soil,18.04,799.2,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,22.77,1150.2,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,4.9,459.6,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Black Soil,6.32,561.9,Rabi,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,24.3,1346.4,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,4.93,1422.4,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,21.43,1344.2,Zaid,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Alluvial Soil,12.56,658.2,Kharif,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,6.56,1181.5,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,21.83,740.7,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,11.41,771.4,Rabi,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,13.11,346.8,Rabi,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,9.3,907.1,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,15.03,319.9,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Laterite Soil,4.51,530.8,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,10.08,1289.8,Rabi,Open-Pollinated Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,24.25,350.3,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,6.82,153.2,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,16.59,150.1,Zaid,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,8.47,1414.1,Kharif,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Black Soil,19.45,785.0,Rabi,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,3.71,643.6,Zaid,Open-Pollinated Seeds,Manual,Canal Irrigation,Organic Fertilizers,Low
Alluvial Soil,24.26,1225.8,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,11.62,1261.9,Kharif,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,6.28,531.7,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,2.3,1055.7,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,4.66,1168.1,Rabi,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,13.23,999.2,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Laterite Soil,8.76,269.8,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Laterite Soil,20.81,1320.0,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,11.06,831.7,Rabi,Open-Pollinated Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,6.59,459.6,Rabi,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,15.62,666.6,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,17.82,104.5,Zaid,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,4.59,235.4,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,4.61,1160.0,Rabi,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Laterite Soil,1.4,50.0,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Laterite Soil,18.54,654.0,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Alluvial Soil,16.76,807.6,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,12.13,129.2,Kharif,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Black Soil,21.18,1461.0,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,20.24,377.9,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,14.84,491.1,Kharif,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
