Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
No,13.43,Maharashtra,Organic,No,35071.1,27103.37,No,No,PM Krishi Sinchayee Yojana
No,27.08,Punjab,Organic,Yes,124100.69,103679.93,No,No,PM Krishi Sinchayee Yojana
Yes,31.67,Rajasthan,Chemical,No,251080.85,22521.85,No,Yes,Kisan Credit Card Subsidy
No,12.89,Telangana,Organic,No,162015.29,186797.48,Yes,No,Kisan Credit Card Subsidy
Yes,6.97,Manipur,Organic,No,99064.16,36715.93,No,Yes,Soil Health Card Scheme
No,41.75,Sikkim,Chemical,No,257025.09,50553.17,Yes,No,PM Krishi Sinchayee Yojana
Yes,49.22,Puducherry,Chemical,No,168176.8,81327.31,Yes,Yes,Soil Health Card Scheme
No,26.28,Chandigarh,Chemical,Yes,136472.75,76632.89,No,Yes,NFSM
Yes,8.58,Bihar,Chemical,No,237352.85,158932.58,Yes,No,NFSM
Yes,13.62,Madhya Pradesh,Bioinputs,Yes,75309.29,91263.36,No,Yes,RKVY
No,0.92,Uttarakhand,Bioinputs,Yes,464595.41,34153.65,Yes,No,PM Krishi Sinchayee Yojana
Yes,45.71,Tamil Nadu,Chemical,Yes,435174.03,53441.98,Yes,Yes,NFSM
No,5.89,Haryana,Organic,Yes,356734.09,101822.68,Yes,Yes,PM Krishi Sinchayee Yojana
No,28.83,Nagaland,Chemical,Yes,62044.78,29490.78,No,No,PM Krishi Sinchayee Yojana
No,13.7,Kerala,Chemical,Yes,390179.85,122331.14,Yes,No,PM Krishi Sinchayee Yojana
No,27.71,Tamil Nadu,Organic,No,405899.09,113149.46,Yes,Yes,Kisan Credit Card Subsidy
No,32.57,Chandigarh,Bioinputs,No,386204.66,142940.46,Yes,Yes,Kisan Credit Card Subsidy
No,41.49,Maharashtra,Chemical,No,65843.28,187540.92,No,No,Kisan Credit Card Subsidy
No,10.32,Arunachal Pradesh,Chemical,Yes,325514.9,182450.91,Yes,No,PM Krishi Sinchayee Yojana
No,0.55,Nagaland,Bioinputs,No,418819.15,189215.12,No,No,PM Krishi Sinchayee Yojana
No,6.84,Telangana,Bioinputs,No,292903.17,48943.12,Yes,Yes,PM Krishi Sinchayee Yojana
No,45.0,Arunachal Pradesh,Organic,No,326739.61,26313.06,Yes,No,PM Krishi Sinchayee Yojana
No,43.69,Chandigarh,Bioinputs,Yes,234598.1,60455.34,Yes,No,PM Krishi Sinchayee Yojana
Yes,29.87,Karnataka,Bioinputs,No,269066.59,179017.03,No,Yes,NFSM
Yes,30.03,Himachal Pradesh,Bioinputs,Yes,26844.66,194410.69,Yes,No,Soil Health Card Scheme
No,33.25,Kerala,Organic,No,323091.88,171864.99,Yes,No,PM Krishi Sinchayee Yojana
No,8.77,Mizoram,Bioinputs,Yes,49909.13,22003.54,Yes,No,PM Krishi Sinchayee Yojana
No,45.72,Manipur,Bioinputs,Yes,223157.15,189485.6,Yes,No,Kisan Credit Card Subsidy
No,20.94,Tripura,Organic,Yes,153401.0,84671.61,No,Yes,NFSM
No,19.16,Chandigarh,Bioinputs,No,277259.7,1862.06,Yes,No,PM Krishi Sinchayee Yojana
No,25.95,Mizoram,Bioinputs,No,75374.0,88478.75,Yes,No,PM Krishi Sinchayee Yojana
No,2.35,Uttar Pradesh,Organic,Yes,348905.27,9213.83,Yes,No,Kisan Credit Card Subsidy
No,8.31,Delhi,Chemical,No,399555.65,108775.58,Yes,No,PM Krishi Sinchayee Yojana
Yes,36.9,Uttar Pradesh,Organic,Yes,90043.68,67710.81,No,No,Soil Health Card Scheme
No,4.14,Nagaland,Bioinputs,Yes,61113.41,94686.99,Yes,No,RKVY
Yes,30.16,Sikkim,Bioinputs,No,81302.59,122634.07,Yes,Yes,Soil Health Card Scheme
No,12.27,Goa,Bioinputs,No,439792.51,173760.22,No,Yes,Kisan Credit Card Subsidy
No,19.46,Mizoram,Organic,No,268812.74,132380.32,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,14.43,Tamil Nadu,Bioinputs,Yes,238957.89,86809.77,Yes,No,Kisan Credit Card Subsidy
No,17.78,Telangana,Bioinputs,Yes,62288.79,163885.57,Yes,No,Kisan Credit Card Subsidy
Yes,35.95,Nagaland,Organic,No,328282.44,181116.43,No,No,Kisan Credit Card Subsidy
No,14.86,Haryana,Chemical,Yes,435319.8,23951.99,Yes,Yes,Kisan Credit Card Subsidy
No,28.32,Himachal Pradesh,Chemical,No,415811.08,106386.6,No,No,PM Krishi Sinchayee Yojana
Yes,23.8,Goa,Bioinputs,Yes,316766.81,56902.39,No,Yes,NFSM
No,33.18,Chhattisgarh,Organic,No,46886.57,9412.24,No,No,PM Krishi Sinchayee Yojana
Yes,46.84,Kerala,Bioinputs,No,65074.54,133709.34,No,No,Kisan Credit Card Subsidy
No,36.63,Tripura,Organic,Yes,34161.4,172554.16,No,Yes,NFSM
Yes,10.75,Delhi,Organic,No,136164.82,32580.53,No,Yes,Soil Health Card Scheme
Yes,1.56,West Bengal,Chemical,No,76474.12,162482.73,No,Yes,RKVY
No,13.11,Karnataka,Chemical,Yes,137423.54,170679.15,Yes,Yes,NFSM
No,29.75,Tripura,Organic,No,198678.45,182868.09,Yes,Yes,Soil Health Card Scheme
Yes,2.57,Andhra Pradesh,Bioinputs,Yes,472061.56,53057.02,No,Yes,NFSM
No,24.82,Karnataka,Chemical,No,309084.27,180790.61,No,No,PM Krishi Sinchayee Yojana
No,29.84,Odisha,Bioinputs,Yes,419137.15,64132.55,No,Yes,PM Krishi Sinchayee Yojana
No,16.71,Himachal Pradesh,Chemical,No,358072.24,110467.6,No,No,PM Krishi Sinchayee Yojana
Yes,38.55,Uttarakhand,Chemical,No,65126.53,10101.49,No,No,Kisan Credit Card Subsidy
Yes,5.33,Arunachal Pradesh,Bioinputs,No,370601.0,8776.22,No,No,PM Krishi Sinchayee Yojana
Yes,3.76,Kerala,Chemical,No,144798.45,144074.64,Yes,No,Soil Health Card Scheme
Yes,36.41,Bihar,Chemical,Yes,323162.85,88896.0,Yes,No,PM Krishi Sinchayee Yojana
Yes,24.77,Bihar,Bioinputs,Yes,177071.37,51258.48,No,Yes,Soil Health Card Scheme
Yes,34.42,Nagaland,Chemical,Yes,498859.41,38082.7,No,Yes,NFSM
Yes,21.74,Manipur,Chemical,Yes,139140.22,133990.7,No,Yes,RKVY
Yes,12.32,Odisha,Chemical,Yes,146773.93,80.31,Yes,No,Soil Health Card Scheme
Yes,40.96,Madhya Pradesh,Bioinputs,Yes,466029.41,161178.23,No,Yes,NFSM
No,39.97,Odisha,Organic,Yes,22075.76,15849.92,Yes,No,Kisan Credit Card Subsidy
Yes,34.73,Mizoram,Bioinputs,No,351377.6,38297.92,Yes,No,PM Krishi Sinchayee Yojana
No,13.61,Goa,Organic,No,365409.93,77247.28,Yes,No,PM Krishi Sinchayee Yojana
No,29.51,Meghalaya,Chemical,No,419825.5,96971.75,No,No,PM Krishi Sinchayee Yojana
No,18.05,Telangana,Organic,No,487475.26,70999.02,No,Yes,Kisan Credit Card Subsidy
Yes,4.58,Kerala,Bioinputs,Yes,488044.94,64142.43,Yes,Yes,NFSM
Yes,45.87,Odisha,Bioinputs,Yes,41985.61,192783.2,Yes,Yes,RKVY
Yes,6.84,Chhattisgarh,Chemical,Yes,412701.27,128315.94,Yes,Yes,Kisan Credit Card Subsidy
Yes,47.51,Mizoram,Organic,No,326691.87,4686.59,Yes,Yes,NFSM
No,22.3,Uttar Pradesh,Chemical,Yes,327197.65,86035.18,No,No,PM Krishi Sinchayee Yojana
Yes,9.26,Tamil Nadu,Chemical,No,72891.46,175001.74,Yes,Yes,Soil Health Card Scheme
Yes,27.1,Uttar Pradesh,Bioinputs,Yes,328591.71,60291.24,No,No,PM Krishi Sinchayee Yojana
Yes,43.65,Delhi,Organic,Yes,491416.46,18911.27,Yes,No,PM Krishi Sinchayee Yojana
Yes,36.61,Andhra Pradesh,Organic,Yes,456791.1,151676.95,No,No,PM Krishi Sinchayee Yojana
Yes,40.33,West Bengal,Organic,Yes,225174.02,121202.77,Yes,Yes,Kisan Credit Card Subsidy
No,32.94,Uttarakhand,Organic,No,29574.51,114062.5,No,No,NFSM
Yes,34.61,Tripura,Chemical,No,187523.81,10715.31,No,No,NFSM
No,42.46,Telangana,Chemical,Yes,414931.25,28099.8,No,Yes,PM Krishi Sinchayee Yojana
Yes,12.48,Tamil Nadu,Bioinputs,No,353734.56,124509.88,Yes,No,PM Krishi Sinchayee Yojana
No,24.47,Jharkhand,Chemical,Yes,235078.39,41564.77,No,No,PM Krishi Sinchayee Yojana
Yes,11.06,Manipur,Chemical,Yes,36999.75,100814.02,Yes,No,Soil Health Card Scheme
Yes,49.38,Tamil Nadu,Bioinputs,Yes,219178.42,108976.34,No,Yes,Kisan Credit Card Subsidy
No,47.2,Rajasthan,Bioinputs,Yes,239822.22,56701.44,No,No,PM Krishi Sinchayee Yojana
No,1.97,Rajasthan,Bioinputs,No,464992.21,189685.03,Yes,No,Kisan Credit Card Subsidy
No,35.28,Karnataka,Chemical,Yes,324132.19,168492.82,No,Yes,PM Krishi Sinchayee Yojana
Yes,46.26,Madhya Pradesh,Chemical,Yes,162709.93,144474.7,No,Yes,Soil Health Card Scheme
No,9.03,Chhattisgarh,Bioinputs,No,267405.95,15598.77,Yes,No,PM Krishi Sinchayee Yojana
Yes,28.4,Andhra Pradesh,Bioinputs,Yes,42367.1,21226.0,No,Yes,Soil Health Card Scheme
Yes,45.77,Telangana,Bioinputs,No,486558.44,98556.27,No,Yes,PM Krishi Sinchayee Yojana
No,1.7,Kerala,Chemical,Yes,186429.35,32142.67,No,Yes,Soil Health Card Scheme
No,34.87,Karnataka,Chemical,Yes,244155.0,195653.09,No,Yes,Kisan Credit Card Subsidy
Yes,14.87,Mizoram,Organic,Yes,184089.15,31704.05,Yes,Yes,Soil Health Card Scheme
Yes,46.22,Bihar,Chemical,Yes,344430.75,97493.57,No,Yes,Kisan Credit Card Subsidy
No,48.55,Manipur,Chemical,Yes,334493.76,72824.21,No,Yes,Kisan Credit Card Subsidy
No,47.21,Tripura,Chemical,Yes,360507.93,127877.28,No,No,PM Krishi Sinchayee Yojana
No,23.71,Puducherry,Bioinputs,No,141390.18,25807.28,No,Yes,Kisan Credit Card Subsidy
Yes,43.1,Himachal Pradesh,Chemical,Yes,164677.56,86063.29,No,Yes,RKVY
Yes,42.23,Rajasthan,Bioinputs,No,71373.1,54941.01,No,Yes,RKVY
Yes,15.96,Punjab,Organic,No,331199.89,177550.3,No,No,PM Krishi Sinchayee Yojana
Yes,41.45,Odisha,Organic,Yes,29500.59,8117.14,No,Yes,Soil Health Card Scheme
Yes,1.85,Odisha,Bioinputs,No,302864.34,182745.5,Yes,Yes,NFSM
Yes,29.81,Kerala,Bioinputs,Yes,436150.98,166598.83,Yes,No,Kisan Credit Card Subsidy
No,11.5,Chhattisgarh,Bioinputs,No,446507.75,59514.14,Yes,Yes,Kisan Credit Card Subsidy
Yes,6.03,Jharkhand,Chemical,Yes,230028.5,157858.13,Yes,No,NFSM
Yes,3.85,Mizoram,Organic,No,235058.81,6242.71,No,No,Kisan Credit Card Subsidy
Yes,34.81,Chhattisgarh,Bioinputs,No,47714.9,193373.11,No,Yes,Soil Health Card Scheme
No,16.99,Sikkim,Chemical,Yes,338674.86,105318.99,Yes,No,Kisan Credit Card Subsidy
Yes,36.24,Meghalaya,Organic,No,412417.12,60656.21,Yes,Yes,NFSM
Yes,3.27,Gujarat,Chemical,Yes,129880.98,72516.64,Yes,Yes,Fertilizer Subsidy Scheme
No,15.76,West Bengal,Organic,Yes,216437.43,13281.07,No,No,PM Krishi Sinchayee Yojana
Yes,26.97,Himachal Pradesh,Chemical,Yes,421031.28,197869.9,No,No,Kisan Credit Card Subsidy
Yes,39.54,Assam,Organic,Yes,439789.03,7858.39,Yes,Yes,NFSM
Yes,15.94,Manipur,Organic,Yes,129158.19,130981.42,Yes,Yes,Soil Health Card Scheme
Yes,31.29,Meghalaya,Chemical,No,279779.61,88547.19,Yes,No,PM Krishi Sinchayee Yojana
Yes,44.3,Nagaland,Bioinputs,No,104321.64,189783.24,Yes,Yes,Soil Health Card Scheme
No,30.79,Maharashtra,Organic,No,59920.59,49199.95,Yes,Yes,Soil Health Card Scheme
No,11.65,Assam,Bioinputs,Yes,456449.05,106417.36,No,Yes,PM Krishi Sinchayee Yojana
No,1.22,Kerala,Chemical,No,412048.68,96471.24,Yes,No,NFSM
Yes,43.5,Himachal Pradesh,Bioinputs,No,382417.1,140573.29,No,Yes,Kisan Credit Card Subsidy
Yes,1.06,West Bengal,Bioinputs,No,33895.5,13602.05,Yes,Yes,RKVY
Yes,43.74,Gujarat,Bioinputs,No,423427.11,38757.83,Yes,Yes,NFSM
No,26.45,Himachal Pradesh,Bioinputs,No,224641.6,42912.96,No,No,PM Krishi Sinchayee Yojana
Yes,46.95,Madhya Pradesh,Bioinputs,Yes,177773.61,147630.15,Yes,No,Soil Health Card Scheme
Yes,39.94,Nagaland,Organic,Yes,277773.42,37827.74,No,No,PM Krishi Sinchayee Yojana
No,49.9,Chhattisgarh,Organic,No,54763.09,114698.35,No,Yes,Soil Health Card Scheme
Yes,17.54,Madhya Pradesh,Organic,Yes,380756.81,43048.76,Yes,No,Kisan Credit Card Subsidy
No,38.36,Bihar,Chemical,Yes,295393.19,172324.99,Yes,Yes,NFSM
No,20.1,Chandigarh,Bioinputs,No,101429.15,188437.09,No,No,Kisan Credit Card Subsidy
No,23.99,Arunachal Pradesh,Organic,No,102233.78,103698.59,No,Yes,Soil Health Card Scheme
Yes,31.38,Meghalaya,Chemical,Yes,100281.84,70461.78,Yes,No,NFSM
Yes,43.68,Himachal Pradesh,Organic,No,37931.17,46811.56,No,Yes,NFSM
Yes,49.2,Himachal Pradesh,Organic,Yes,298021.24,9956.2,Yes,Yes,Kisan Credit Card Subsidy
Yes,38.41,Goa,Bioinputs,Yes,421770.61,53700.02,No,No,PM Krishi Sinchayee Yojana
Yes,20.89,Karnataka,Chemical,No,18574.12,130847.16,Yes,Yes,Soil Health Card Scheme
Yes,21.07,Sikkim,Bioinputs,Yes,34012.28,106723.39,No,No,Soil Health Card Scheme
Yes,36.88,Telangana,Bioinputs,Yes,290657.44,188808.26,No,No,PM Krishi Sinchayee Yojana
No,11.94,Sikkim,Organic,Yes,411552.89,79255.45,Yes,Yes,Kisan Credit Card Subsidy
Yes,5.52,Andhra Pradesh,Bioinputs,No,170102.06,138772.67,No,Yes,Soil Health Card Scheme
No,17.73,Bihar,Chemical,No,181311.06,97864.55,No,No,Kisan Credit Card Subsidy
Yes,14.36,Madhya Pradesh,Bioinputs,No,302209.78,102515.24,No,No,PM Krishi Sinchayee Yojana
Yes,14.82,Tamil Nadu,Bioinputs,No,144364.32,53554.86,No,No,Soil Health Card Scheme
Yes,11.68,Madhya Pradesh,Bioinputs,Yes,23038.1,90990.16,No,Yes,Soil Health Card Scheme
No,2.1,Madhya Pradesh,Organic,No,370261.97,94157.0,No,No,Kisan Credit Card Subsidy
No,0.89,Arunachal Pradesh,Chemical,No,316568.46,141328.5,No,Yes,NFSM
No,49.39,Himachal Pradesh,Organic,No,294570.44,188128.0,Yes,Yes,Kisan Credit Card Subsidy
No,21.39,Telangana,Organic,No,373425.22,65864.26,No,No,PM Krishi Sinchayee Yojana
Yes,19.22,Haryana,Organic,Yes,340863.11,8440.09,No,No,PM Krishi Sinchayee Yojana
No,33.98,Gujarat,Organic,Yes,110882.17,99259.03,Yes,Yes,Soil Health Card Scheme
Yes,10.91,Bihar,Organic,Yes,182715.71,108892.27,No,Yes,Soil Health Card Scheme
Yes,47.5,Nagaland,Chemical,No,71793.97,33688.11,No,Yes,Soil Health Card Scheme
No,39.32,Assam,Bioinputs,No,73629.94,152092.92,Yes,Yes,NFSM
No,4.47,West Bengal,Organic,Yes,341335.92,196985.82,No,No,Kisan Credit Card Subsidy
No,20.88,Goa,Organic,No,430714.05,189154.94,No,Yes,PM Krishi Sinchayee Yojana
No,43.96,Kerala,Chemical,No,481738.97,39421.21,Yes,No,PM Krishi Sinchayee Yojana
No,47.24,Kerala,Chemical,Yes,317890.09,175072.65,Yes,No,PM Krishi Sinchayee Yojana
No,23.37,Rajasthan,Bioinputs,Yes,100209.65,140898.73,No,No,Kisan Credit Card Subsidy
No,30.67,West Bengal,Chemical,No,61768.67,90769.31,No,Yes,NFSM
No,8.35,Haryana,Bioinputs,No,408296.98,108122.2,Yes,Yes,Kisan Credit Card Subsidy
Yes,49.56,Sikkim,Organic,No,293590.67,169920.03,No,No,PM Krishi Sinchayee Yojana
No,11.58,Sikkim,Organic,Yes,312959.66,96026.99,Yes,No,PM Krishi Sinchayee Yojana
No,47.14,Andhra Pradesh,Bioinputs,Yes,392916.42,74641.47,Yes,No,PM Krishi Sinchayee Yojana
Yes,32.48,Bihar,Chemical,Yes,354605.84,98649.5,Yes,No,Kisan Credit Card Subsidy
No,30.39,Rajasthan,Bioinputs,Yes,418884.54,115825.96,No,Yes,Kisan Credit Card Subsidy
Yes,25.63,West Bengal,Chemical,No,37544.81,37815.53,Yes,No,Kisan Credit Card Subsidy
Yes,11.53,Karnataka,Organic,Yes,376285.11,180181.55,Yes,Yes,NFSM
No,8.83,Assam,Chemical,Yes,426917.85,134837.39,Yes,Yes,Kisan Credit Card Subsidy
Yes,11.02,Madhya Pradesh,Bioinputs,No,150206.17,126653.78,No,Yes,Soil Health Card Scheme
Yes,9.32,Tripura,Bioinputs,No,323819.16,19899.25,No,Yes,Kisan Credit Card Subsidy
Yes,38.98,Mizoram,Organic,No,163939.41,120834.79,No,No,Soil Health Card Scheme
Yes,17.51,Sikkim,Chemical,Yes,479405.82,24192.13,Yes,Yes,Kisan Credit Card Subsidy
No,2.89,Sikkim,Chemical,No,26377.55,15739.54,No,No,NFSM
Yes,48.46,Jharkhand,Chemical,No,294098.49,105462.18,No,Yes,Kisan Credit Card Subsidy
No,44.19,Rajasthan,Organic,Yes,91586.74,80557.11,Yes,No,Kisan Credit Card Subsidy
Yes,46.39,Kerala,Chemical,Yes,358987.9,117762.05,Yes,No,Kisan Credit Card Subsidy
Yes,49.75,Manipur,Bioinputs,No,96186.24,17844.43,No,No,NFSM
Yes,8.69,Rajasthan,Chemical,Yes,125337.8,86196.61,No,No,Soil Health Card Scheme
Yes,19.81,Jharkhand,Organic,No,252241.7,34957.34,Yes,No,Kisan Credit Card Subsidy
No,37.91,Maharashtra,Chemical,No,458269.13,197420.02,No,Yes,PM Krishi Sinchayee Yojana
No,34.8,Madhya Pradesh,Chemical,Yes,113740.04,112230.04,Yes,No,NFSM
Yes,7.69,Chhattisgarh,Bioinputs,No,80677.61,137487.37,Yes,Yes,Soil Health Card Scheme
Yes,40.79,Goa,Chemical,Yes,381898.65,65083.66,No,No,PM Krishi Sinchayee Yojana
No,11.22,Telangana,Bioinputs,Yes,255303.57,18947.78,No,Yes,PM Krishi Sinchayee Yojana
Yes,11.19,Arunachal Pradesh,Bioinputs,Yes,456774.71,195174.17,No,Yes,NFSM
Yes,26.85,Sikkim,Organic,No,81841.13,57251.81,No,Yes,Soil Health Card Scheme
Yes,29.65,Mizoram,Bioinputs,Yes,326504.67,84761.64,Yes,No,Kisan Credit Card Subsidy
No,29.0,Bihar,Bioinputs,Yes,124110.78,129972.78,No,Yes,NFSM
No,4.57,Maharashtra,Organic,No,86812.61,4939.46,No,No,NFSM
No,43.87,Jharkhand,Bioinputs,No,344880.41,162051.83,No,No,PM Krishi Sinchayee Yojana
Yes,13.28,Assam,Organic,No,300905.46,107315.64,Yes,Yes,NFSM
Yes,6.48,Tripura,Chemical,No,379865.45,55643.44,No,Yes,Kisan Credit Card Subsidy
No,44.44,Assam,Organic,Yes,161636.66,12321.6,No,No,PM Krishi Sinchayee Yojana
